label,text
0,酒店前台的态度极其恶劣，我预定的是12月14日晚的双人间，携程预定是到晚上9点，由于行程改变，到达时间会推后，因为该酒店当天有一个全省会议，考虑到房间可能会紧张，所以在当晚8点前打电话到酒店前台，告知我会晚到，房间请保留，前台的答复是可以，当晚我9点30分到达酒店，前台告诉我过了预定的9点钟，房间已经取消，并且也没有房间了，还拿出携程的预定传真给我看，我说我已经事先电话告知会晚到并且已得到你们的承诺，现在房间取消竟然认为是我的责任，吵了半天来了一个大堂经理，上来又是同样的一堆废话，最后说只能给我一个大床间加一张床，没办法只能接受，对此事件非常遗憾，同时对于携程与这种酒店签订协议也很失望！
0,房间很大味道，服务差，态度差，房单设施差~~永远不会再去了。差就一个字
1,总的来说，印象很好，房间干净整洁时尚，网络速度很快。对有些要求较高的客户，需要注意的是：洗浴用的花洒是固定的，不像一般淋浴头可以拿在手上冲洗。
1,已经是第二次入住了，服务还是一如既往的好，这家酒店也会给人带来很多的惊喜，我的笔记本出了点问题，我自己是解决不了，正着急的时候，想到了酒店，于是抱着试试的态度，询问了前台，令人很惊讶的是，酒店的工程部人员服务速度真快，效率也很高，几分钟后就解决了，帮了我一个大忙，真的很感谢他们。还有就是最近济南的天气不算好，我感冒了，老是咳嗽，所以买了点药放在了床头，今天早上出去的时候发现药没有了，本来想晚上回来的时候买点的，可是下午等我回来看到桌上的客房服务员留下的字条，以及床头上的咳嗽糖浆，当时我的鼻子酸酸的，出门在外最需要的就是关心，他们做到了。入住在这家酒店就和回到家一样，很温馨，心情很放松。
1,是一个别墅式的温泉，非常清静，服务也不错，性价比较高。就是交通有点不便，同时一定不要选一楼的房间，因为潮湿有一股很浓的味道。如果是单独旅游，最好的办法是包一辆出租车，一天才150元，还可以请司机介绍景点，上次我请了一个出租车，人不错，我介绍一下大家认识：李志宁13988505869
0,"挺悲哀的,住的是双标间国庆是230,在杭州住了个锦华之旅已经很挫了,这位仁兄有过之而无不及,依然的一阵阵怪味,纱窗坏的,空调乱叫,唯一的好处就是代售附近的景点(如:浙西大峡谷,天滩,大明山等)门票八五折,本身在携程订的是两晚,连忙把第二晚的给退了,听当天把我们带到天滩的司机介绍住在大峡谷镇的一个旅店."
0,该酒店虽然名义上是五星，但我却没看过这么小气的酒店，我通过携程网预定了三千五百多的特级房，明明看到网上写得清清楚楚有赠送的饮料券每房不超过两张，可在登记入住时前台只给一张，真是郁闷！这不是纯粹虚假广告吗！！！我们是两人入住只给一张还不如不要给，前台解释说可以让另一个人买一张！！！简直是讹诈！！！
1,是在2008年4月27日入住的。订这家酒店是因为想在深圳市区待上一天，在携程上看了酒店的介绍，觉得价格还算公道，也是家四星级的酒店，特别是因为是深航和锦江的牌子，才决定定了这家酒店。入住后总体感觉是还可以，但是也有一些地方不是很满意：1。酒店的设施有显陈旧，当然不是古董的那种，只是略显的旧一点点。2。酒店的门童的态度不是特别的令人满意，不会及时地为客户开汽车门。3。酒店的房间靠街道，有一点点吵。以上就是我个人的感觉了。当然，总的来说，还是不错的，性价比高，离机场近，景观不错。
1,硬件不错，服务态度也不错，下次到附近的话还会选择住这里
1,"酒店的大堂不大,看起来不够豪华.但是服务人员都非常的热情.房间比较大,设施一般但是还算干净.第一次入住该酒店,到大堂询问附近的餐厅,大堂副理居然是非常年轻的漂亮小姐,笑容让人很舒心,好意的提醒我们原本想去的得月楼只不过名声在外,不实惠味道也一般,并且热情的介绍了边上的天竺酒楼,去是过以后果然如她所言实惠又好吃.吃完饭过后到附近逛了才发现地理位置非常好,逛街非常方便.顺便提一下,酒店内部有一个沐足的地方,房客用抵用券可以打折扣,按摩的手法非常的专业.第二天走的时候门口没有出租车,行李生冒着大雨出去叫车,还是非常的让人感动的.补充点评2008年1月20日：软件达到五星标准，硬件打个３.５星吧，应该改造了，呵呵．下次还来"
1,装修不错，都是新的。服务非常好，很细心周到。在保定，中银的服务给我留下最深刻的印象。然后早餐是自助餐，种类非常多质量也很好。宾馆周边交通也挺方便，宾馆对面就是保定市政府。
1,第二次入住。嗯，老实说，中规中矩吧，没有特别好，也没发现什么不好。补充点评2008年3月5日：对，电梯要查房卡才能使用，稍有点麻烦，不过酒店管理，可以理解
0,环境一般，住了之后让人感觉价格和服务不成比例！
1,位置还好，不算太难找，屋内比较干净，卫生间装修不错，木制的氛围比较喜欢。没窗户，但是夏天住空调房也不是很需要窗户，所以能接受。
0,极差！停车收十元钱！穷则思变！房间招待所、服务员优越感极强！
1,酒店有点偏，（没有地铁站），19：30后就没有shuttlebus了。大堂很小，也没有什么设施。不过，房间很好，也有海景。
1,"非常喜欢夜上海的美景,尤其是流光十色的外滩夜景!上海曼哈顿商务酒店具外滩只有数百米,哈哈,真是意想不到的一转身就能饱览全上海最美的地方,一回头就能融入最繁华的南京路!"
1,"我已经是三年第三次通过携程预订这间酒店了,这次有些失望,酒店的服务态度还是很好,无可挑剔,可是现在的酒店设施开始陈旧,房间/卫生间,床等已经掩盖不了陈旧的痕迹,还有难闻的臭味,据说现在老板的注意力已经转移到发展华蓥山酒店了,但是,我觉得不管如何,你们的品牌还是要注意保持.还要就是餐厅,大堂播放的背景音乐,还是80年代的电子琴流行音乐,实在没有品位档次.总之,这次我对服务满意/对酒店设施不满意."
0,"给朋友定了该酒店,价格比以前高出了很多.这且不说.转天朋友结帐,前台因为染了一块毛巾和床单的说法要求赔偿110元.朋友很不开心,说就是喝你们冰箱可乐时候喷出来一些.而且110买你5套也够了.结果我要求前台把经理找来,一个小伙子说他就是.朋友说你们四星这么做有点过火.后来我要求那个小伙子带我去房间看一下有没有污染,到什么程度.于是他就一起去了,床单的一大片我表示怀疑是否是朋友染的.于是在我拉掉床单的一刹那,令人惊讶的事情发生了,在下面棉单上面,竟然有一女人例假的血迹.当然就想吐,那血还好象是近期的.朋友一看就急了,在这床上睡一晚是多么让人恶心.我相信酒店也完全能检查出来有,根本没有换,或者简单洗完就铺上了.所以,请大家今后住这个酒店一定好好检查检查.(酒店最终解决是半价,但是远远无法消除这种失望,决心不再入住).补充点评2007年2月3日：如果床单上发现有血迹,这在国外,甚至国内的4,5星酒店绝对是无法容忍的事情.酒店不是简单的打着折就能摆平的事情."
1,"总体还可以,就是前台服务员还不够敬业,在登记入住后,看都没看是不是本人,就把我客人的护照给了其它人,幸亏就在旁边,要不然不知后果怎样,之后连说声不好意思,或对不起都没有!!!希望改进!!!"
0,"我以携程名义预定如家快捷酒店,从2008年4月8号入住到15号退房共住了一星期,一日151元的房价是不贵,但是15号我大约中午12:25左右办理结帐退房,如家快捷酒店却说我没有在中午12点整之前结帐,因超过如家快捷酒店规定的时间,所以要加收半日的房费76元,当时我愣了一下,并跟店家力争说明,为何入住时怎么不向我说明清楚规定?再来我是订房至15号,为何15号中午12点之前不能用电话提前通知我退房时间?如果我超时30分钟必须要加收房费,按照比例原则如家却要收半日的房费也太离谱了！他们解释说:因为我是透过携程仲介订房,所以公司规定就是如此,他们也无法改变,如果是如家的会员订房有一小时的弹性时间。听见如家酒店的解释,我是深感如家酒店根本不注重消费者的权益,只注重他们自己的利益,就因我是在网上透过携程仲介订房,更让人有变相加价的感觉,再来如家酒店对自己的会员和对其他合作单位订房的会员权益有这么大的差异呢?四星或五星酒店也没有这么收费法吧?"
1,这个酒店住过了无数次了，客观的来说是个值得推荐的酒店，曾经的服务给我留下了无比深刻的印象，除了餐厅经理上次吃自助晚餐的时候给我递过名片说下次给我打折，结果我这次又去吃了，他们说要预定才可以打折，所以下次大家要去3楼大厅吃饭记得要预定的，其他还是不错的，推荐。
1,很舒服的一个度假酒店。虽然黄金周的时候入住人多了点，但是服务和设施的都没有落后。我是先通过旅行社订了一天的房，结果就喜欢上了这个酒店，想延住，却被告知没有房间了（因为是黄金周期间），最后是通过携程预订了房间。看来携程还是不错的，这么紧张的时候还能订到酒店。
1,"装修前也住过几次,现在感觉完全不一样,非常不错的一家4星酒店,早餐也很丰盛,下次去嘉善还会考虑住,出来就是市中心,就是房间的隔音差了点,隔壁的电视声音也听得见,还有浴室的灯是感应式的,但感应范围好像不大广,人在浴缸基本感应不到,会熄灯..."
1,住过很多次了，房间很大，性价比比较高。缺点是对常客的习惯没有档案不能提供更体贴的服务。房间地毯的清洁差一些。电视的可选台太少了，应该可以在房间准备一份楼下澳葡街的菜牌，这样对客人更方便，也可以成为酒店的卖点。其他方面比较满意。
1,服务素质实在一般，酒店也旧，象是回到了二十年前。。。补充点评2008年7月2日：也就给三分，怎么变以4分了？
1,"位置非常好,在新区和传统城区的交界处,虽然是老酒店了(五年以上),房间设施还是不错的,但我们入住的前两天一切OK,第三天就不整理房间了,要打电话才安排,是规定这样做吗?"
0,缺点：房间比较老旧，电梯果然如网友评价非常慢，所谓2003新装修实际只是大扫除一下。网速也不快。出门打的不方便，旁边没有吃饭消费地方，要出去不少路。周边环境不好且人员素质很差。亲眼看见楼上飞下一矿泉水瓶，差点砸中前面一女孩头部。优点：早餐很不错，去周边主要商业区也不远。服务员态度尚可。
1,看不出与5星酒店有多大关系，有虚的成分。50元的早餐，完全的名不副实，我看撑死值30元。
1,非常好的酒店，非常好的服务，我先生对酒店一向非常挑剔，只有这次他实在没话说！补充点评2008年8月6日：酒店餐厅正在装修，但不影响住宿。
1,"听说是柳州最好的饭店了,原来是市政府的招待所.靠近一条河,景观不错.出行交通也还可以.房间没有留下什么特别深的印象,但是觉得底楼中餐厅的服务员态度特别好,勤快,亲切,吃顿饭送了好几次热毛巾."
0,"房间差的不能想象,地毯脏的恐怖,天花板上面居然还挂着两大团多年没有打扫的蜘蛛网疑似的东西,可能十年前评的四星吧,现在评他两星都闲多建议中国的饭店星级全部取消吧,骗人的东西"
0,客观地说，这个酒店不怎么样。列出来大家参考：一、晚上八点半到的，没看到门童；二、没有吹风机，三、网线收在电视柜后面，打电话到客房中心才知道还是有网线的；四、第二天想迟个十来分钟退房，前台说没办法，要加收钱，住了这么多酒店头回见着这么呆板的；五、结账时要个信封，没有。六、结账时水单没给我，打电话过去要，说要一点半后再打过去帮我查。这种酒店还能挂星啊？
1,追加一点，早餐尽量不要在酒店吃。能吃的食物少的可怜，如果阁下是位正在依靠咖啡减肥的人事，这里是最好的去处，因为别的都没有，咖啡倒是可以让你喝饱。更要命的是要求添加些食物居然遭到服务员的白眼！交了钱得不到应有的服务和起码的食物供应，这是酒店给我留下的最深的印象和遗憾宾馆反馈2006年12月11日：感谢您提出的宝贵意见。点评中所涉及的相关问题酒店已给予高度重视并正对早餐等相关问题根据客人的需求和酒店的服务标准作出改进和调整。酒店质监部已加强了对服务质量的督导。
0,查看了很多的游记，选择了这个酒店。很失望，建议以后大家不要住。到前台，前台小姐用广东话和同事交谈，才决定给我什么房间，我要求高点的楼层，给了我9楼，进门有一股烟味。房间很小，设施很差。从铜罗湾出来，要过天桥才能到酒店。每次买好东西回来，都要走天桥。宁愿住珀宁酒店，离崇光近，不用走天桥。由于是红眼航班，要求延弛退房，给孩子睡个午觉，也不肯，服务太差了，根本不到四星的标准，要是在海南，三星也不评不上啊！建议大家带孩子的话，不要住这个酒店。
1,整体感觉还不错，去商业街也比较方便。早餐总类还算丰富，就是煎鸡蛋的服务生态度还需改进，让他煎个鸡蛋也不应一声。
1,房间挺舒服的，有保险箱、冰箱、体重仪。但是冰箱和体重仪坏了，另外我们住的那间房间门的安全插销没有了，最不好的就是酒店管理有问题，退房时说缺了毛巾，后来核实是他们没有放。好的是床垫是记忆的，很舒服。装修很漂亮，免费的东西也很多，早餐很丰盛，总体感觉不错。宾馆反馈2008年6月17日：首先感谢您对我们酒店提出的意见。冰箱有冷热两用功能，打开热开关能保温，打开冷开关是制冷。我们以热忱周到勤勉细致的服务恭候海内外宾客的光临!
1,房间环境很干净，就是地方不算是特别好找，呵呵。
0,普通的标间太陈旧，没法住。ctrip不该签这么差的房间。换了豪华标间后，还可以。换的晚了点，是没窗户的房间。郁闷。早餐两岁的小孩居然要钱，不可理喻。
0,这是我住过的最差的五星级酒店！8月5日住的所谓经济间，504元/晚；房间很小，通道小的只容下一条腿。卫生间没门，淋浴房居然也没门，洗澡水下不去，快漫出卫生间！换了一间，还是这样。地毯很脏！没有服务！再不住了！白送也不住！有被大刀砍的感觉。
0,"千万不要住综合楼,那本来真的是一个宗和楼,在路边,且在景区大门外,跟一个路边酒店没区别.另,之前看点评说那里的温泉少,服务差,还不信,体验的结果是:服务员说,来多少客人开多少池.结果我们一群人在一个池里,好在小朋友不介意,但我介意,这是广东省最差的温泉.唯一的优点:综合楼改成的客房面积很大."
1,酒店的地理位置尚可，顺着情侣路很容易找到。定的是三人房，典型的２房１厅，房间偏小，厅不错。设施一般，只是电视频道非常多。HBO、BBC、成人电影台都有应该说３人房的价格还是比较有优势的
0,设施很陈旧，卫生间真的有够脏的，没有电梯
0,十一期间爬泰山，住在这里。房间还算干净但是没有温馨的感觉，冷冰冰的；服务一般，前面是马路后面是水果批发市场，住在哪一面都比较吵。泰山山脚下的出租车很不厚道，下了山打车回酒店，他们说不能打表，一口价16，其实打表走也就是8块。酒店没有餐厅，第二天在对面韩国烧烤吃的晚餐，味道不正宗，但价格很便宜，他们那儿的泰山三美还算好吃，比我们第一天找了好远的一家当地鲁菜馆的好吃多了。（泰山三美就是白菜炖豆腐，当地没啥特色菜）
0,服务不则么样，太旧，旋转餐厅不转的，早餐的服务员好像我欠了他们钱一样，很差
1,直得推荐的酒店，虽然价钱比较昂贵，但服务生是从心来招待我们，再者酒店用的品版都是有牌子的东西，对于我们香港游客来说，信心会加添不少。酒店设计很有藏族的味道，餐厅水准不俗，值得一试！最欣赏是他们大堂的姜茶，及半夜仍会努力解决我们客人的种种要求，而且不会额外收费，衷心的推荐。
0,帮客户订的，一开始还非常担心，因为地段不是很好，不过最终还是比较满意的，没有什么特别不好的地方，下次还是不追求特价房了，换莫泰好点的地段和房间。
1,因为见客户的需要，只住了一次，因为以前都是住５星的而且很新的，所以这次去感觉没那么好了．很多方面还需要改进
1,还不错的一家酒店，位置比价安静，房间也还不错，就是出门打车要走出一段距离。酒店商品部的服务很一般，态度极其冷淡，应该下岗。
1,酒店环境还可以，距离公交车站比较近，出行方便。一般的服务员很和气会主动向你问好，倒是看着象管理人员的从不见打招呼。比较郁闷的是，有一天服务员因为拿走了一筒快过期的冰箱里的饮料，没有交接清楚，下一班的人员误会是我们喝掉了。还有我预定的4天的房，结果到第三天上午房卡就被停掉了，害我从沙滩返回时只好先到大厅重新办理。早餐去的比较晚时感觉他们餐桌收拾的很慢，好像服务员不够用似的，看着将近7、8个没人坐的桌子却都有一摞待收拾的餐盘，没办法告诉服务员后半天才来收拾
1,合庆确实不错，我住的商务单间，房间很大，设施很齐全，很温馨的感觉。尤其让我满意的是酒店后边的小山，沿着小路一直走上去，很多树，还有一些盛开的小花，小山的一侧就是清澈的海水，远处是一些小岛，尤其在夏天去，感觉非常舒服。下次一定还住合庆。
1,设施有点陈旧，住的大床间感觉房屋面积过小，性价比不如宜宾银龙戎州大厦宾馆
1,地理位置不错，在商业街上，逛街很方便，房间也还不错，看上去还比较新，就是早餐品种太少了。酒店旁边的小巷里傍晚开始会出现几个小吃摊，味道都还不错哦，烧烤鱿鱼特别好吃，入住酒店的朋友可以去吃吃看，呵呵。
1,酒店位置不错，就在市中心，从火车站坐2路、9路到体育场下车都可以到，2路还可以到陕州风景区。酒店门口有公交站，6路站牌上写着可以到虢国博物馆，但实际上6路改线了，终点是上村，可以坐到第二个铁路道口下车走一会儿可以到博物馆。定的是单人房，房间不大，但自己一个人住足够了。装修还可以，可地毯和浴室脚垫太脏了！！！！实在太脏了！！！不知道多少年没洗过了！！！其它还好，只是中央空调制冷不太强。一楼餐厅的菜不错，也挺干净，住店客人消费挂帐还可以打8.8折。值得一说的是服务，虽然酒店装修比较旧，但服务是可以达到三星标准的，比较有效率，态度也不错。退房的时候把乘车卡忘在房间里了，房间服务员发现后马上告诉了我。晚上有个穿短裤拖鞋的人想进酒店找人被门童拦住了，被告知短裤拖鞋不能进入，必须衣冠整洁。对这点很满意，这是个城市酒店又不是度假酒店。只是门童的制服太滑稽了。
0,"175元入住标房B。大厅和电梯里有异味。房间里桌子也没擦干净,洗浴间装潢等设备太旧。早饭很差。不值。补充点评2008年8月6日：看了点评去入住的,上当了。估计yangming的点评是托!!"
0,这是一家相当烂的酒店，我不知道其他人是如何评价它的，对客户那种极不信任的表情以及工作作风，自以为是，狂妄自大，肆意欺骗顾客，他们根本就没把客户放在眼里，我奉劝看过此贴的朋友，千万不要住这家黑店啊！切记！！！
1,感觉很您好环境也不错晚上很安静下次有机会还会选择住金叶的
1,网上讲的房间是24平米，实际没有那么大。另外房的空调也不是很凉快!
1,作为在人民广场附近的酒店来说这个价位算是比较低的，而且相对房间来说也不是很差。与一般的经济型酒店设施还是差不多的。但是酒店的地点却不是很熟悉，所以也是找了一段时间才找到。但是走到人民广场还是很方便的。
1,酒店的环境还是挺不错的，一大片的高尔夫球场，绿色的草地让人心情很爽！旁边就是阳澄湖。房间还可以，略显陈旧！在酒店吃饭不是太方便，只有一个会所可以吃饭。隆重介绍高尔夫：练习场不太贵，30块30个球一个杆15快，大家可以试试，挺好玩的。总之度假首选！[酒店在大上海高尔夫球场里面]不是太好找！
0,该酒店最大的缺点就是：吵闹！对面的大喇叭白天一直在放，里面又有餐厅在吵！白天几乎没发休息！
0,如果不是实在订不到其它酒店，怎么也不能住这啊！条件差就差呗，价格还不便宜。我打算至少50年内不会再去了，建议携程删除此酒店。
1,&#35828;&#23454;&#35805;，&#23545;景&#21306;酒店的硬件我&#27809;有&#25253;太高的期望，又是&#40644;金周期&#38388;，价格肯定偏&#36149;。但&#23454;&#38469;入住后，感&#35273;&#36824;是很不&#38169;的（可能是期望低的&#32536;故吧）。酒店硬件普通，但&#29615;境超好，服&#21153;&#21592;素&#36136;&#36739;低，&#24577;度&#23646;于死&#40060;&#31867;，需要&#24110;助的事&#39033;能推&#21017;推。唯一提出表&#25196;的是酒店&#33829;&#38144;部&#38376;的相&#32463;理（女，13509520519），&#32473;了我&#20204;很大&#24110;助。&#22269;&#24198;期&#38388;竹筏漂流不&#23545;散客&#21334;票，&#35828;是全部&#39044;&#35746;光了，我靠！！！怎么能不&#32473;散客留票，&#36825;就是景&#21306;的管理。下次赶上&#40644;金周大家千万&#35760;得要提前&#39044;&#32422;！本&#26469;以&#20026;旅行要以&#36951;憾告&#32456;，可在与酒店服&#21153;&#21592;&#23547;求&#24110;助不予理&#20250;的失望中，相&#32463;理主&#21160;&#36807;&#26469;了解情&#20917;，并&#31215;极&#32473;我&#20204;&#32852;系船票，最&#32456;弄到了船票，使我&#20204;的自助游精彩&#32467;束，真的是很感&#35874;她。另外，打出租&#35760;住3508&#36710;&#21495;，司机&#24072;傅姓占，价格公道，不宰客，&#24577;度也很好。补充点评2007年10月10日：妗赶ㄛ勤劓Е嬴虚腔璃挂膻衄惕询腔ㄛ酴踢洁ㄛ?r迹谏隅⑴幛〔笋妗昵攴ㄛ橇逊竭祥渣腔ㄗ褫夔腴腔埽嘟勘ㄘ〔嬴虚璃ぱㄛ笋远噫闭疑ㄛ督竭腴ㄛ仅衾赶浚ㄛ猁堆腔岈夔〔堤桶腔嬴虚种窒腔眈幂烩ㄗ踬ㄛ13509520519ㄘㄛ跤剩蝇竭湮堆〔弊ヰ洁ㄛ楔⑸霜祥勤谛忮⑺ㄛ□窒隆嫖剩ㄛ蕞ㄐㄐㄐ?N夔祥跤谛隐⑺憩劓Е腔夺烩〔棒酴踢湮模カр暮腕猁ゴㄐ挂懂藏猁熄豢ㄛ褫鹞嬴虚督А堆祥烩颇腔ㄛ眈幂烩雄ゴ剩贱ロ表ㄛ?K当?O蝇蓟ㄛ读善剩摒⑺ㄛ蝇腔侪粗赋旰ㄛ腔竭郅〔ㄛ湖堤暮3508陬疡ㄛ侗?C葭ㄗ13706916440ㄘㄛ?r迹鼠耋ㄛ祥谛ㄛ仅珩竭疑〔
1,朝阳的房间不算大，朝南的房间比较大，有大沙发，但是比较昏暗。大堂比较暗，不敞亮。位置比较靠中心，就是门口有单行。
1,不错，推荐！周边环境有点冷清。去机场方便。硬件不错。
1,"本人住过国内外酒店过百家,在珠海都住过好几家,我们4大2小于国庆节入住这家挂牌四星公寓酒店的豪华三人套,现和大家分享一下：好的方面:1.酒店是由几座商品房改造的,外部环境不错,绿树成荫,房间面积大(2房一厅);2.酒店的康乐活动有保龄球,高尔夫球练习场,网球,游泳,等等,(须另外收费);3.酒店的停车方便,而且不收费;4.客房内的食品价格不高，5.服务态度好,服务员会带客人上到房间,并介绍房间设施,入住和退房较快.不好的方面:1.设施不豪华,只能算舒适,客房内的厨房如要使用另加30元一天,2.客房内毛巾清洁的不够专业,床和床上用品质量普通，3.客房内的保养做的不足,如睡房内的床头灯不能调节光度,4.如有小孩的,睡房内的窗户打开后一定要小心,因为窗户距床很近,不要让小孩子一个人在床上玩(酒店方面应该要有提示,或将窗户做成只能打开15-20厘米).补充点评2008年1月11日：总的来说,这个酒店的硬件最多3星水平;最大的好处是周边环境比较好."
1,我们这次圣诞新年假期原计划是在博鳌看宾斯基住一周的，结果一住就十天了。凯宾斯基饭店的环境是放松和度假的好地方，一百一十多幢的别墅掩映在亚热带的树林景色和河边当中，简花是见花草树林不见人，我们白天开车在饭店内怎么兜风，也没遇到几个人，等到晚上从别墅中透出来的灯光，才知道这里基本还有这么多地度假的人。从我们住的是独享单间，6天住港式风格的，4天住得是韩式风格的。整幢别墅只有我们两公婆，里面听宽敞的，饭店挺豪气的，或许呼应德国的品牌饭店吧，大冰箱、滚筒洗衣机是西门子，灯开关插座是西门子的，电熨斗是飞利浦的，抽油烟机是意大利的，多士炉是什么牌子忘了。或许想我们这样，带着面包面条橄榄油吞拿鱼罐头烟肉番茄酱在厨房开餐的人不多，所以，发现，多士炉是没人用过，全新的;洗衣机是全新没人用过的，让我这个小主妇开心的不亦乐乎！说说存在的问题吧。闲聊时得知，当年饭店为了赶工程，室内装修都出现了不同程度的质量问题，比如，装修的手工粗劣，正是因为连续住进的两套别墅的浴缸都严重渗水，才在饭店内挪了三次窝。饭店的早餐管理我认为有不妥。第一次登记入住是从28日开始到1月4日的，早餐券每天两张共14张一模一样的，开始两天没有去吃早餐，到了1号去餐厅看看，是自助早餐，虽然品种只有十来二十种，中西式都有，还好，不错，我还可以打包回去给老公。结果到了三号，我去了一看，啥都没有，只有经理和几个服务员在那，经理招呼我坐下后，已不见了。服务员收取了我两张早餐券，给我端上了一份中式早餐，一碗白粥，一小份炒面，一个包子一个馒头，完事。我无从下口，让服务员给我拿了一碗酸奶泡麦片，喝了，然后，让服务员打包两杯酸奶回去，结果服务员让我签单，我明白了，今天的免费早餐变了，只有一份中式的，我要的酸奶和麦片要另外付费，我一看账单，愣住了，3杯酸奶加一小碗麦片共76块人民币。4号续住的时候，我都懒得去领早餐券了，因为老公说，国务院三天假期过了，我们不能度假了。既然饭店是真正休闲度假的地方，我想饭店应该把客人住店的每一天都视之为假日，我真的承受不了一天冷一天热的服务概念。既然饭店要做远离尘嚣、远离喧闹的休闲度假区，我接受休闲度假区天天一样的房价，但必须给我天天一样的休闲度假的服务。对吧？幸好，我们带足够了厨房粮草，早餐、午餐我在厨房里忙乎，晚上到金海岸西餐厅晚餐，也优哉游哉的度过了一个搏鳌凯宾斯基假期。我们还计划，下次来的时候，把我妈妈和保姆也带上，再次入住凯宾斯基。
1,"我是看了携程的推荐选择的该酒店.以往看推荐给我很多帮助.所以这次也把我的感受写下来,希望能给其他人一些帮助.我是四月份入住该酒店的,从大巴车上下来,打车几分种.交通比较方便.房间在新装修的楼层,装修得非常好!居然还有电脑,可以上网,也可以听音乐.楼层的服务员态度非常好.只是有一点不太舒服的,就是前台的服"
0,房间设施相当差，马桶圈居然小了一大圈，浴缸的水直接排到卫生间的下水道，洗个澡弄的卫生间里全是水，门卡居然也没有，说是给交警大队队长了，进出得要服务员开门。对面就是火车站，以后绝对不能找火车站附近的酒店，太坑了！
1,海滩有点名过其实了，也确实远了一点，交通也不方便，但酒店本身是很不错的。在尖沙咀半岛酒店（靠近香港青年会的那一边）有黄金海岸酒店自己的专线巴士，来回都是免费的（楼上有说要收费的，可能是和司机沟通不好）。班次可以到酒店的网站下载（，不建议其它交通方式，这是我的忠告！附近有超市，茶餐厅和麦当劳，要求不高的话吃是没问题的。
